"iso3c","country","income_group","region","population","small_state_flag"
"HKG","Hong Kong SAR, China","High income","East Asia & Pacific",7498900,FALSE
"HUN","Hungary","High income","Europe & Central Asia",9514251,FALSE
"ISL","Iceland","High income","Europe & Central Asia",392404,TRUE
"IND","India","Lower middle income","South Asia",1463865525,FALSE
"IDN","Indonesia","Upper middle income","East Asia & Pacific",285721236,FALSE
"IRN","Iran, Islamic Rep.","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",92417681,FALSE
"IRQ","Iraq","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",47020774,FALSE
"IRL","Ireland","High income","Europe & Central Asia",5484367,FALSE
"IMN","Isle of Man","High income","Europe & Central Asia",84118,TRUE
"ISR","Israel","High income","Middle East, North Africa, Afghanistan & Pakistan",10122800,FALSE
"ITA","Italy","High income","Europe & Central Asia",58915656,FALSE
"JAM","Jamaica","Upper middle income","Latin America & Caribbean ",2837077,FALSE
"JPN","Japan","High income","East Asia & Pacific",123366734,FALSE
"JOR","Jordan","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",11520684,FALSE
"KAZ","Kazakhstan","Upper middle income","Europe & Central Asia",20843754,FALSE
"KEN","Kenya","Lower middle income","Sub-Saharan Africa ",57532493,FALSE
"KIR","Kiribati","Lower middle income","East Asia & Pacific",136488,TRUE
"PRK","Korea, Dem. People's Rep.","Low income","East Asia & Pacific",26571036,FALSE
"KOR","Korea, Rep.","High income","East Asia & Pacific",51684564,FALSE
"XKX","Kosovo","Upper middle income","Europe & Central Asia",1576876,FALSE
"KWT","Kuwait","High income","Middle East, North Africa, Afghanistan & Pakistan",4865298,FALSE
"KGZ","Kyrgyz Republic","Lower middle income","Europe & Central Asia",7343064,FALSE
"LAO","Lao PDR","Lower middle income","East Asia & Pacific",7873046,FALSE
"LVA","Latvia","High income","Europe & Central Asia",1847785,FALSE
"LBN","Lebanon","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",5849421,FALSE
"LSO","Lesotho","Lower middle income","Sub-Saharan Africa ",2363325,FALSE
"LBR","Liberia","Low income","Sub-Saharan Africa ",5731206,FALSE
"LBY","Libya","Upper middle income","Middle East, North Africa, Afghanistan & Pakistan",7458555,FALSE
"LIE","Liechtenstein","High income","Europe & Central Asia",41024,TRUE
"LTU","Lithuania","High income","Europe & Central Asia",2888774,FALSE
"LUX","Luxembourg","High income","Europe & Central Asia",686970,TRUE
"MAC","Macao SAR, China","High income","East Asia & Pacific",685900,TRUE
"MDG","Madagascar","Low income","Sub-Saharan Africa ",32740678,FALSE
"MWI","Malawi","Low income","Sub-Saharan Africa ",22216120,FALSE
"MYS","Malaysia","Upper middle income","East Asia & Pacific",35977838,FALSE
"MDV","Maldives","Upper middle income","South Asia",529676,TRUE
"MLI","Mali","Low income","Sub-Saharan Africa ",25198821,FALSE
"MLT","Malta","High income","Middle East, North Africa, Afghanistan & Pakistan",579704,TRUE
"MHL","Marshall Islands","Upper middle income","East Asia & Pacific",36282,TRUE
"MRT","Mauritania","Lower middle income","Sub-Saharan Africa ",5315065,FALSE
"MUS","Mauritius","Upper middle income","Sub-Saharan Africa ",1243741,TRUE
"MEX","Mexico","Upper middle income","Latin America & Caribbean ",131946900,FALSE
"FSM","Micronesia, Fed. Sts.","Upper middle income","East Asia & Pacific",113683,TRUE
"MDA","Moldova","Upper middle income","Europe & Central Asia",2360527,FALSE
"MCO","Monaco","High income","Europe & Central Asia",38341,TRUE
"MNG","Mongolia","Upper middle income","East Asia & Pacific",3568978,FALSE
"MNE","Montenegro","Upper middle income","Europe & Central Asia",623129,TRUE
"MAR","Morocco","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",38430770,FALSE
"MOZ","Mozambique","Low income","Sub-Saharan Africa ",35631653,FALSE
"MMR","Myanmar","Lower middle income","East Asia & Pacific",54850648,FALSE
"NAM","Namibia","Lower middle income","Sub-Saharan Africa ",3092816,FALSE
